QuestionId	Answer	AnswerId	Score1	Score2MS_43a	Because they are both different.	MS.43a.501.1		0.0
MS_43b	35 grams to a glass case, 60 grams to a big book.	MS.43b.153.1		0.0
VB_15a	The variable they controlled was bringing their own balls.	VB.15a.477.1		0.0
VB_15b	How they ran to the line and threw their balls.	VB.15b.525.1		1.0
VB_15c	They should all start in the line.	VB.15c.539.1		1.0
PS_44	The shorter strings make a higher sound because the vibrations do not travel as long.	PS.44.223.1		2.0
MX_22a	It has and weighs more with more things in it than a solution.	MX.22a.633.1		0.0
MX_18	It is a product on the bottom of the cap.	MX.18.387.1		0.0
MX_53	He should look for the solid material in his house or store.	MX.53.113.1		0.0
PS_24a	A quarter past left of the cup.	PS.24a.319.1		0.0
SE_46	Yes. Because dark colors like black contract heat but light colors like white do not.	SE.46.242.1		1.0
FN_20a	Anna should make sure one is not salted and one is not.	FN.20a.581.1		0.0
FN_20b	Using only the results from her experiment, Anna will know which one has more fat in it by the larger the grease spot the more fat.	FN.20b.101.1		2.0
ME_5b	It would not stick because it is not magnetic.	ME.5b.293.1		1.0
SE_45	That happened because the earth moves which made the sun face the other way and made the sign face the other direction.	SE.45.616.1		0.0
SE_10	It would best demonstrate shadows change because the flashlight is acting as the sun, and the globe as the earth, so the earth would rotate, not the sun.	SE.10.511.1		2.0
EM_35	Because of it he you scratch with a penny.	EM.35.603.1		1.0
PS_4bp	Low.	PS.4b.495.1		2.0
PS_4ap	It would be a higher pitch.	PS.4ap.263.1		2.0
EM_46	The crystals were points and the salt crystal were Xs.	EM.46.422.1		2.0
VB_12d	The shorter the string the more swings the longer the string the less the swings.	VB.12d.638.1		2.0
II_38	You see people upside down and kite, cart, cow, buoyant.	II.38.101.1		1.0
II_24b	The dog's name will be on the paper so you know which dog it came from.	II.24b.571.1		0.0
VB_42	The more blocks the less meters it goes.	VB.42.643.1		2.0
LF_39	2. Then trace the model. 4. You draw the map like the overlay grid.	LF.39.509.1		1.0
ST_59	Get her own shelter for that lizard.	ST.59.420.1		2.0
DESCRIBE_GAP_LOCATE_PROCEDURE_Q	when the voltages changes to zero at a specific terminal	FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb29-l1.qa185		2.0
EM_21a	She can rub them together and switch, if there is a mark on it and it goes away, it is hard.	EM.21a.594.1		2.0
EM_21b	The one that make a mark. She should also see if stuff comes off when she scratches it.	EM.21b.223.1		2.0
MX_1	The salt turns to liquid like an ice cube and then to water sand does not.	MX.1.494.1		1.0
MX_36a	I think Grace thinks she made a solution because she mixed eggshells and vinegar together.	MX.36a.543.1		0.0
MX_36b	Because there are bubbles and the shells just disappeared.	MX.36b.282.1		2.0
MS_64a	Their hands could be different length.	MS.64a.319.1		2.0
ME_27b	I will stick or not stick.	ME.27b.121.1		1.0
VB_1	By putting everything where it goes.	VB.1.628.1		0.0
MX_24	You know because the solid matrix I will dissolve overnight.	MX.24.466.1		1.0
DAMAGED_BULB_SWITCH_Q	"The both don""t work"	SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbjb37-l1.qa81		1.0
LF_18a	In a flood the water would be moving stronger and faster than usual.	LF.18a.779.1		1.0
