QuestionId	Answer	AnswerId	Score
1	The first ten amendments to the U.S. Constitution are called the Bill of Rights.	90ab0206-6efe-4d9d-84d0-45aaaf344f7c	100
1	The first ten amendments are called the Bill of Rights.	4febfa12-eeeb-4901-bac3-190677182412	100
1	The first ten amendments to the Constitution are the Bill of Rights.	3811bd3d-1d1c-4dc2-9fd9-2e0a95324a20	80
1	The first ten amendments are called The Bill of Rights and these were ratified on December 15, 1791.	d057f9f0-aa3f-4c43-afe1-533e97a6cd9b	60
1	The Bill of Rights	89c76259-88d8-484a-87de-a49faac55dd0	100
1	The first ten amendments to the Constitution are called the Bill of Rights.	43ac8b6d-917a-41b4-811a-af15866440b0	100
1	The first ten amendments to the U.S. Constitution are called the Bill of Rights.	0884f43b-a1d5-4a2a-8cb2-c475c9a618a2	100
1	The first ten amendments to the U.S. Constitution are called the Articles of Confederation.	8393c088-ab6d-4e11-9486-a99749674ef8	0
1	The Bill of Rights	0449ac29-7389-4add-b2d2-e15996062a78	100
1	The first ten amendments to the Constitution	6b070f02-9fbd-487c-9786-eab449d571ae	100
1	The first ten amendments are called the Bill of Rights.	c949de3e-5436-4064-86e4-586384c19d1c	100
1	The first ten amendments are called the Constitution.	232484f7-fd0f-4bcf-aaa5-af56ea3ea582	0
1	The first ten amendments are called the Bill of Rights.	9314e57e-d0dd-4bee-b50f-39277e8c93c5	100
1	The first ten amendments are called the Amendments to the Constitution.	320084b6-7c08-4c9c-9827-c0a5a7e4926e	50
2	The right to freedom of speech	5dae652e-a2ae-4948-bdb3-6c0f9235982f	100
2	The right to freedom of religion	f43426e9-4f6e-4186-8a38-0d34bcea76d9	100
2	Freedom of religion	c2f6f519-5484-41d4-b40a-1398520038a6	100
2	Freedom of speech	a227f540-2e25-4104-ad7e-26c4f8e7f5f5	100
2	The right to bear arms	154a7bc1-8d14-4fde-998f-35c400e2ebfd	0
2	The right to a speedy trial	00cf2ad9-b213-4fce-ad4d-496e10b4ebc7	0
2	The right to freedom of speech	34ea4ebc-3e57-49eb-9cc7-6a5cb5e9d941	50
2	The right to freedom of religion	4cf804aa-5237-4a45-a4cd-50728f0d9ae4	50
2	The freedom of speech	7b693f5b-dcba-4623-91c0-0bd2c47802df	100
2	The right to bear arms	f64bfe6e-6b98-40d5-84b9-dbdb6bf91f6f	0
2	The freedom of speech	eb6442b5-51df-4898-b8ef-a8007ad328f5	100
2	The right to bear arms	9c22175d-b0f3-414f-acac-2bb2c56fd9e4	0
2	The right to free speech	c8331768-b9c8-448c-863f-9afacac368b1	0
2	The right to bear arms	acc3f433-63bd-484f-828c-cbc057ddfacd	100
2	The right to freedom of speech	0e29d425-1f61-49f3-b231-ef3387c0f086	100
2	The right to freedom of religion	cc6adb62-c562-4297-b0ae-ebdbe218b7b7	100
3	The Declaration of Independence established the United States as a sovereign nation separate from the British empire.	d4f95851-4847-4fe6-9433-f9e3a22e24c1	100
