QuestionId	Answer	AnswerId	Score
What are the first ten amendments to the U.S. Constitution called?      1	The first ten amendments to the U.S. Constitution are called the Bill of Rights.	9f9fdc98-8591-42d1-8065-03663ad69c08	100%
What are the first ten amendments to the U.S. Constitution called?      1	The first ten amendments are known as the Bill of Rights.	41cf8527-641d-4102-9984-fc5bc430d28b	100%
What are the first ten amendments to the U.S. Constitution called?      1	The Bill of Rights are the first 10 amendments of the US Constitution	f618edc1-ee09-4e7d-8d9b-f7a44516ce8c	100%
What are the first ten amendments to the U.S. Constitution called?      1	the first ten amendments are called the Bill of Rights	03a221a3-2619-49ed-b3d8-8c7b24d0825b	80%
What are the first ten amendments to the U.S. Constitution called?      1	the first amendment is Freedom of Speech	754bf5f5-4759-4fde-a5c9-7cb34c749a9d	0%
What are the first ten amendments to the U.S. Constitution called?      1	the second amendment is the right to bear arms	48221a2d-4517-45da-a4a8-40c0f6710538	0%
What are the first ten amendments to the U.S. Constitution called?      1	The first ten amendments are called the Bill of Rights.	57dec714-53fa-48ab-9cd4-446f73d97073	100%
What are the first ten amendments to the U.S. Constitution called?      1	The first ten amendments are called the Ten Commandments.	2ca652e3-dc1b-4093-b3bb-579974202c10	0%
What are the first ten amendments to the U.S. Constitution called?      1	The first ten amendments are called the Magna Carta.	7210f9a9-2ad4-4450-b0d0-073ee155ad61	0%
What are the first ten amendments to the U.S. Constitution called?      1	The first ten amendments are called the Bill of Rights.	853d4c27-3a5f-41d0-9b2a-196f531d29a9	0%
What are the first ten amendments to the U.S. Constitution called?      1	The first ten amendments are called the Founding Fathers.	fa1b763c-bf79-49ec-8e87-bd551ebdcf1a	0%
What are the first ten amendments to the U.S. Constitution called?      1	The first ten amendments are called the Articles of Confederation.	c20fb453-4eeb-422e-bc2e-225aab9fd9ac	0%
What is one right or freedom from the First Amendment?      2	Freedom of religion	1fcba95d-0106-4b56-8fb6-de67f4921be9	100%
What is one right or freedom from the First Amendment?      2	The right to practice any religion	91fdc5d1-6fc6-4965-a3bc-961ce2d8cf30	100%
What is one right or freedom from the First Amendment?      2	The right to not have a religion	fb66c02d-183a-426b-b0d9-004e8485b786	100%
What is one right or freedom from the First Amendment?      2	The right to free speech	0c00f263-b93b-4f39-82a3-ab88af59faa5	80%
What is one right or freedom from the First Amendment?      2	The right to bear arms	6cb145ed-58d9-466a-a95d-94db6a5c329a	60%
What is one right or freedom from the First Amendment?      2	The right to a speedy trial	a9dfaeae-a271-4e9a-80e0-5800652b3a42	0%
