QuestionId	AnswerId	Score1	Score2
5	12633	4	0
5	12429	4	0
5	11652	4	0
5	11765	0	0
5	11675	0	1
5	11365	0	1
5	12696	0	0
5	11488	4	0
5	12541	0	0
5	11908	4	0
5	11691	0	1
5	12113	4	0
5	11338	0	1
5	12325	0	1
5	12468	4	0
5	11046	0	2
5	12154	0	0
5	12181	2	0
5	12529	4	0
5	11236	4	0
5	12524	4	0
5	11429	4	0
5	11038	0	0
5	11998	4	0
5	12749	3	0
5	12523	2	0
5	12400	4	0
5	12050	2	0
5	11115	0	0
5	12134	4	0
5	12396	0	1
5	11043	4	0
5	12166	0	0
5	11541	4	0
5	12517	4	0
5	11761	0	0
5	11515	4	1
5	12402	0	0
5	12437	0	1
5	12413	0	0
5	11631	0	0
5	11697	0	0
5	12693	2	1
5	11668	4	0
5	11416	0	1
5	11776	0	1
5	11280	0	1
5	11099	2	0
5	11754	2	1
5	11503	0	0
5	12168	4	1
5	12654	4	0
5	11534	4	0
5	12590	4	0
5	11125	4	0
5	12706	4	0
5	11558	0	1
5	12107	0	0
5	12500	0	3
5	12163	0	0
5	11005	4	0
5	11138	0	0
5	12714	2	0
5	12186	0	0
5	11251	0	0
5	11843	4	0
5	11174	0	0
5	11303	2	0
5	12092	0	0
5	11411	3	0
5	12083	3	0
5	11893	4	0
5	11343	4	0
5	11424	4	0
5	11999	4	0
5	12172	4	0
5	12578	4	0
5	12649	4	0
5	12483	2	0
5	11161	4	0
5	12386	0	1
5	11401	4	0
5	11219	0	0
5	11653	0	0
5	12558	2	0
5	11227	2	0
5	11409	0	0
5	11260	0	1
5	11242	0	0
5	12547	2	0
5	10971	0	2
5	12241	0	1
5	11598	4	0
5	12608	4	0
5	12196	4	0
5	11145	4	0
5	11029	2	0
5	11784	0	0
5	11179	0	1
5	12095	0	1
5	12105	0	0
5	11651	2	0
5	11720	0	3
5	12189	0	0
5	12535	4	1
5	11954	4	0
5	11996	0	0
5	12224	4	0
5	11257	2	0
5	12192	4	0
5	12683	0	0
5	12512	0	0
5	12198	0	1
5	12612	2	1
5	12639	0	0
5	12538	4	0
5	12482	4	0
5	11020	4	0
5	11202	2	0
5	12256	0	1
5	11991	0	1
5	12445	3	0
5	11076	0	0
5	12020	0	1
5	11492	3	0
5	11829	0	1
5	12164	4	0
5	11344	2	0
5	11867	4	0
5	11833	0	0
5	12653	0	0
5	12323	3	0
5	12657	0	0
5	12751	0	0
5	11307	0	0
5	11140	4	0
5	12317	0	1
5	12650	0	1
5	12231	0	1
5	12284	0	0
5	12139	4	1
5	11817	4	0
5	11694	4	0
5	12104	4	0
5	12518	4	0
5	12358	4	0
5	11474	0	0
5	11616	0	1
5	11234	0	0
5	12372	0	0
5	11034	4	0
5	11809	4	0
5	11889	2	0
5	12461	0	0
5	12245	4	0
5	11959	0	0
5	11261	0	0
5	11613	0	0
5	11672	2	0
5	11055	0	1
5	12418	0	0
5	11674	0	0
5	11580	0	1
5	12511	4	0
5	12071	4	0
5	11553	0	1
5	11292	4	0
5	11104	4	0
5	12184	4	0
5	11320	0	3
5	11082	4	0
5	12753	0	1
5	11311	2	0
5	11207	0	1
5	12285	0	0
5	11132	4	1
5	12044	4	0
5	11618	4	0
5	12246	4	0
5	12610	4	0
5	11015	4	0
5	12586	3	0
5	12227	4	0
5	11916	4	0
5	11218	0	0
5	12336	2	0
5	11787	4	0
5	12661	0	0
5	12112	0	0
5	12193	3	0
5	11317	0	0
5	11048	4	0
5	12353	0	1
5	11950	0	0
5	12061	4	1
5	12695	4	0
5	11596	1	0
5	11890	4	0
5	12130	2	0
5	11756	4	0
5	12761	0	0
5	11266	4	0
5	11486	0	1
5	11361	4	0
5	11915	2	0
5	11880	4	0
5	11850	2	0
5	11919	2	0
5	11114	3	0
5	11057	0	1
5	12334	4	0
5	12680	0	2
5	11849	4	0
5	12312	3	0
5	11604	2	0
5	12489	4	0
5	11973	4	0
5	12666	4	0
5	10984	4	0
5	12494	0	0
5	11858	4	0
5	12572	0	0
5	12393	0	0
5	12454	4	0
5	12434	4	0
5	11992	0	3
5	12268	0	0
5	12510	4	0
5	12724	4	1
5	11006	4	1
5	12160	2	0
5	12066	0	0
5	12059	4	0
5	12082	4	0
5	11066	2	0
5	12486	0	1
5	11902	2	0
5	11164	4	1
5	11000	4	0
5	11885	4	0
5	11399	0	0
5	12412	4	0
5	11468	0	0
5	10999	0	0
5	11767	0	1
5	12643	4	0
5	11127	0	0
5	12503	4	0
5	11063	0	0
5	11326	4	0
5	11105	0	1
5	12091	4	0
5	11698	4	0
5	11958	0	0
5	11192	0	0
5	12525	4	0
5	12068	2	0
5	11308	3	0
5	11990	2	0
5	11420	0	0
5	11355	4	1
5	12116	4	0
5	11822	4	0
5	12521	0	0
5	11868	0	3
5	12758	4	0
5	12705	0	0
5	11812	4	0
5	11811	4	0
5	12269	3	0
5	12292	2	0
5	12709	4	1
5	11147	3	0
5	12327	4	0
5	11671	4	1
5	11373	4	1
5	11606	4	0
5	12137	4	0
5	11703	0	1
5	12615	3	0
5	12077	4	0
5	11594	0	1
5	12526	4	0
5	12520	0	0
5	11284	4	1
5	12048	2	1
5	12743	2	0
5	11270	4	0
5	12757	4	0
5	12540	0	1
5	12216	4	0
5	12498	0	0
5	11041	0	1
5	11203	4	0
5	11869	0	1
5	11707	4	0
5	12311	0	0
5	11497	0	0
5	11814	2	0
5	11907	2	0
5	11315	0	1
5	12121	0	0
5	12243	4	0
5	12221	0	1
5	12169	4	0
5	11963	4	0
5	12623	4	0
5	12570	0	1
5	11636	2	1
5	12627	2	0
5	12114	4	0
5	11001	0	1
5	11159	0	1
5	11623	4	0
5	12580	3	0
5	11039	4	0
5	12439	0	3
5	11592	0	1
5	12185	4	1
5	12425	4	0
5	11667	0	1
5	11659	0	2
5	11619	0	0
5	11435	4	0
5	12671	0	1
5	11930	4	0
5	11793	4	0
5	12700	4	0
5	11464	4	1
5	11599	0	1
5	11862	4	0
5	11364	0	0
5	11726	2	0
5	11141	0	0
5	12449	0	1
5	10982	0	1
5	11151	2	0
5	11245	0	1
5	11310	4	1
5	11779	0	0
5	12752	3	0
5	11574	4	0
5	12041	0	0
5	11648	4	0
5	11457	0	1
5	11740	0	0
5	11341	0	0
5	12028	2	0
5	11984	0	2
5	11253	4	0
5	11783	0	1
5	12171	4	0
5	12569	2	0
5	11874	4	0
5	11071	0	0
5	11976	0	1
5	11415	4	0
5	12565	0	2
5	12560	4	0
5	12472	2	1
5	12410	0	0
5	11215	0	0
5	11693	0	1
5	12357	4	0
5	11268	0	1
5	11394	2	0
5	12309	0	0
5	11090	4	1
5	12718	4	0
5	12594	3	0
5	11517	4	0
5	12205	2	0
5	12178	4	0
5	11764	0	0
5	11374	0	0
5	11490	4	0
5	11939	0	2
5	11788	4	0
5	11710	2	0
5	11493	4	0
5	11150	4	0
5	11439	2	0
5	12532	2	0
5	11196	3	0
5	12604	4	0
5	11068	0	0
5	10967	2	1
5	11897	0	0
5	12315	3	0
5	10968	0	0
5	12638	4	0
5	11188	0	0
5	12707	0	1
5	12255	4	0
5	11821	0	0
5	11923	0	0
5	12349	0	2
5	11884	4	0
5	12742	4	1
5	12364	0	0
5	11254	0	1
5	11459	3	0
5	12033	0	3
5	12016	0	1
5	11157	0	2
5	11717	4	0
5	11544	0	0
5	11089	0	0
5	12129	2	0
5	11165	2	0
5	10993	2	0
5	12577	4	0
5	11042	4	0
5	11584	1	0
5	12111	0	0
5	12485	2	0
5	12207	3	0
5	11123	2	0
5	11398	4	1
5	12007	0	3
5	12306	4	0
5	11239	0	0
5	11112	0	0
5	11514	4	0
5	12738	4	0
5	12678	2	0
5	11476	0	1
5	11581	2	0
5	11759	4	0
5	11010	4	0
5	12080	4	0
5	12527	2	0
5	12391	4	0
5	12332	4	0
5	12440	4	0
5	12442	0	0
5	12155	0	0
5	11075	0	0
5	11752	0	0
5	11256	4	0
5	11339	2	0
5	12209	0	1
5	11499	2	0
5	10992	0	3
5	11097	2	0
5	12252	4	0
5	12226	2	0
5	12376	0	0
5	11855	0	0
5	11715	4	0
5	11018	2	0
5	12631	0	0
5	11412	0	0
5	12487	2	0
5	11563	2	0
5	11806	0	1
5	11666	2	1
5	11700	4	0
5	11977	0	0
5	12387	0	3
5	11274	2	0
5	11358	0	0
5	11742	0	0
5	11470	4	0
5	12302	0	0
5	12602	4	0
5	11299	4	0
5	12247	4	0
5	11466	0	2
5	11232	4	0
5	12119	4	0
5	11626	4	0
5	11419	2	0
5	11195	4	0
5	11359	0	0
5	11243	0	1
5	12455	4	0
5	12597	4	0
5	11407	4	1
5	12663	4	0
5	11876	2	0
